Date,Open,High,Low,Close*,Adj Close**,Volume
06/17/22,119.34,121.25,111.72,113.12,113.12,26686
06/16/22,119.12,120.28,115.58,119.81,119.81,24329
06/15/22,121,121.85,117.75,118.51,118.51,22360
06/14/22,122.5,125.18,118.94,121.17,121.17,27702
06/13/22,121.69,123.61,118.95,122.27,122.27,21136
06/10/22,122.94,124.33,119.87,122.01,122.01,26036
06/09/22,123.89,124.33,122.5,123.07,123.07,21008
06/08/22,121.03,124.41,120.46,123.58,123.58,21778
06/07/22,120.08,121.38,118.56,120.57,120.57,20488
06/06/22,121.35,121.89,118.76,119.51,119.51,16523
06/03/22,118.26,121.44,116.08,119.72,119.72,11028
06/02/22,115.82,118.44,112.48,117.61,117.61,22117
06/01/22,116.63,118.58,115.43,116.29,116.29,21546
05/31/22,119.47,124.13,119.36,122.84,122.84,1138
05/30/22,-,-,-,-,-,-
05/27/22,117.54,119.73,116.68,119.43,119.43,4384
05/26/22,114.45,118,113.84,117.4,117.4,11590
05/25/22,113.92,115.32,113.04,114.03,114.03,12885
05/24/22,113.36,114.63,111.72,113.56,113.56,20941
05/23/22,112.74,114.36,111.86,113.42,113.42,20660
05/20/22,111.5,113.22,110.54,112.55,112.55,16942
05/19/22,109.3,112.27,105.7,112.04,112.04,26098
05/18/22,112.89,114.13,108.35,109.11,109.11,21217
05/17/22,114.29,115.66,111.12,111.93,111.93,23254
05/16/22,111.41,114.78,109.04,114.24,114.24,20871
05/13/22,108,111.69,107.81,111.55,111.55,25050
05/12/22,107.56,108.69,104.69,107.45,107.45,27037
05/11/22,101.7,108.26,100.93,107.51,107.51,31560
05/10/22,105.56,106.91,101.7,102.46,102.46,25904
05/09/22,113.05,113.22,104.95,105.94,105.94,28134
05/06/22,111.15,113.52,109.88,112.39,112.39,23902
05/05/22,110.14,113.99,109.23,110.9,110.9,26443
05/04/22,106.1,111,105.5,110.14,110.14,21158
05/03/22,107.37,108.3,104.62,104.97,104.97,23410
05/02/22,109.36,109.36,109.36,109.36,109.36,23606
