Date,Open,High,Low,Close,Adj Close,Volume
2021-11-26,0.013414,0.013414,0.013179,0.013418,0.013418,0
2021-11-29,0.013309,0.013467,0.013280,0.013242,0.013242,0
2021-11-30,0.013430,0.013521,0.013318,0.013434,0.013434,0
2021-12-01,0.013497,0.013571,0.013469,0.013499,0.013499,0
2021-12-02,0.013469,0.013601,0.013469,0.013469,0.013469,0
2021-12-03,0.013583,0.013635,0.013529,0.013583,0.013583,0
2021-12-06,0.013534,0.013605,0.013448,0.013538,0.013538,0
2021-12-07,0.013450,0.013543,0.013420,0.013450,0.013450,0
2021-12-08,0.013515,0.013604,0.013506,0.013515,0.013515,0
2021-12-09,0.013595,0.013614,0.013566,0.013601,0.013601,0
2021-12-10,0.013577,0.013651,0.013557,0.013584,0.013584,0
2021-12-13,0.013641,0.013656,0.013575,0.013622,0.013622,0
2021-12-14,0.013609,0.013628,0.013554,0.013612,0.013612,0
2021-12-15,0.013551,0.013579,0.013483,0.013551,0.013551,0
2021-12-16,0.013586,0.013634,0.013556,0.013587,0.013587,0
2021-12-17,0.013532,0.013600,0.013472,0.013557,0.013557,0
2021-12-20,0.013454,0.013504,0.013431,0.013502,0.013502,0
2021-12-21,0.013500,0.013566,0.013493,0.013502,0.013502,0
2021-12-22,0.013537,0.013591,0.013489,0.013537,0.013537,0
2021-12-23,0.013582,0.013666,0.013580,0.013585,0.013585,0
2021-12-24,0.013639,0.013676,0.013566,0.013643,0.013643,0
2021-12-27,0.013634,0.013684,0.013579,0.013585,0.013585,0
2021-12-28,0.013634,0.013637,0.013537,0.013632,0.013632,0
2021-12-29,0.013575,0.013595,0.013481,0.013575,0.013575,0
2021-12-30,0.013518,0.013539,0.013311,0.013518,0.013518,0
2021-12-31,0.013417,0.013429,0.013263,0.013417,0.013417,0
2022-01-03,0.013300,0.013484,0.013300,0.013336,0.013336,0
2022-01-04,0.013446,0.013448,0.013233,0.013446,0.013446,0
2022-01-05,0.013287,0.013303,0.013137,0.013287,0.013287,0
2022-01-06,0.013044,0.013150,0.012938,0.013044,0.013044,0
2022-01-07,0.013100,0.013319,0.013076,0.013097,0.013097,0
2022-01-10,0.013282,0.013364,0.013200,0.013255,0.013255,0
2022-01-11,0.013356,0.013426,0.013316,0.013359,0.013359,0
2022-01-12,0.013425,0.013461,0.013354,0.013431,0.013431,0
2022-01-13,0.013411,0.013430,0.013066,0.013411,0.013411,0
2022-01-14,0.013105,0.013231,0.012996,0.013105,0.013105,0
2022-01-17,0.013105,0.013227,0.013026,0.013102,0.013102,0
2022-01-18,0.013147,0.013185,0.013014,0.013147,0.013147,0
2022-01-19,0.013019,0.013185,0.012964,0.013019,0.013019,0
2022-01-20,0.013103,0.013161,0.013026,0.013103,0.013103,0
2022-01-21,0.013030,0.013111,0.012912,0.013142,0.013142,0
2022-01-24,0.012924,0.012992,0.012582,0.012919,0.012919,0
2022-01-25,0.012721,0.012782,0.012610,0.012714,0.012714,0
2022-01-26,0.012701,0.012738,0.012457,0.012701,0.012701,0
2022-01-27,0.012623,0.012919,0.012546,0.012626,0.012626,0
2022-01-28,0.012809,0.012920,0.012774,0.012809,0.012809,0
2022-01-31,0.012841,0.012942,0.012827,0.012864,0.012864,0
2022-02-01,0.012936,0.013083,0.012882,0.012935,0.012935,0
2022-02-02,0.013039,0.013215,0.013026,0.013039,0.013039,0
2022-02-03,0.013131,0.013137,0.013023,0.013128,0.013128,0
2022-02-04,0.013087,0.013219,0.013082,0.013087,0.013087,0
2022-02-07,0.013182,0.013268,0.013156,0.013188,0.013188,0
2022-02-08,0.013260,0.013338,0.013230,0.013260,0.013260,0
2022-02-09,0.013318,0.013416,0.013308,0.013327,0.013327,0
2022-02-10,0.013385,0.013469,0.013346,0.013385,0.013385,0
2022-02-11,0.013328,0.013367,0.013131,0.013328,0.013328,0
2022-02-14,0.012928,0.013152,0.012823,0.012911,0.012911,0
2022-02-15,0.013074,0.013316,0.013024,0.013074,0.013074,0
2022-02-16,0.013250,0.013363,0.013243,0.013250,0.013250,0
2022-02-17,0.013327,0.013327,0.013049,0.013327,0.013327,0
2022-02-18,0.013136,0.013222,0.012939,0.013136,0.013136,0
2022-02-21,0.012816,0.013123,0.012559,0.012926,0.012926,0
2022-02-22,0.012440,0.012717,0.012360,0.012440,0.012440,0
2022-02-23,0.012685,0.012726,0.012354,0.012689,0.012689,0
2022-02-24,0.012283,0.012284,0.011119,0.012283,0.012283,0
2022-02-25,0.011776,0.012269,0.011661,0.011776,0.011776,0
2022-02-28,0.011924,0.011977,0.008881,0.012010,0.012010,0
2022-03-01,0.009526,0.011187,0.008599,0.009526,0.009526,0
2022-03-02,0.009218,0.009708,0.008528,0.009218,0.009218,0
2022-03-03,0.009736,0.010208,0.008428,0.009736,0.009736,0
2022-03-04,0.009115,0.009637,0.008666,0.009135,0.009135,0
2022-03-07,0.007181,0.007437,0.006463,0.009187,0.009187,0
2022-03-08,0.007845,0.008197,0.007069,0.007196,0.007196,0
2022-03-09,0.007694,0.008634,0.007196,0.007694,0.007694,0
2022-03-10,0.007355,0.008611,0.007145,0.007209,0.007209,0
2022-03-11,0.007382,0.008819,0.007382,0.007493,0.007493,0
2022-03-14,0.007521,0.009077,0.007520,0.007571,0.007571,0
2022-03-15,0.008336,0.009619,0.008318,0.008336,0.008336,0
2022-03-16,0.009142,0.009415,0.008547,0.009236,0.009236,0
2022-03-17,0.010366,0.010366,0.009467,0.009904,0.009904,0
2022-03-18,0.009700,0.009856,0.009404,0.009700,0.009700,0
2022-03-21,0.009895,0.009895,0.009284,0.007571,0.007571,0
2022-03-22,0.009380,0.009701,0.009115,0.009380,0.009380,0
2022-03-23,0.009437,0.010292,0.009349,0.009437,0.009437,0
2022-03-24,0.010340,0.010434,0.009807,0.010340,0.010340,0
2022-03-25,0.009783,0.010247,0.009783,0.009783,0.009783,0
2022-03-28,0.009917,0.010453,0.009807,0.009917,0.009917,0
2022-03-29,0.010366,0.011927,0.010366,0.010208,0.010208,0
2022-03-30,0.011178,0.012017,0.011115,0.011433,0.011433,0
2022-03-31,0.011981,0.012362,0.011874,0.011981,0.011981,0
2022-04-01,0.012238,0.012351,0.011240,0.012238,0.012238,0
2022-04-04,0.011565,0.012011,0.011565,0.011874,0.011874,0
2022-04-05,0.011945,0.012035,0.011613,0.011945,0.011945,0
2022-04-06,0.011910,0.012275,0.011763,0.011910,0.011910,0
2022-04-07,0.012182,0.012951,0.012124,0.012182,0.012182,0
